iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,0.0
1000,-1.0,2.0,8,0.0
1500,-1.0,2.0,8,0.0
2000,-1.0,2.0,8,0.0
2500,-1.0,2.0,9,0.0
3000,-1.0,2.0,8,0.0
3500,-1.0,2.0,8,0.0
4000,-1.0,2.0,8,0.0
4500,-0.89,2.11,9,0.0
5000,-0.89,2.11,9,0.0
5500,-1.0,2.0,8,0.0
6000,-0.85,2.15,13,0.0
6500,-1.0,2.0,9,0.0
7000,-1.0,2.0,8,0.0
7500,-0.88,2.12,8,0.0
8000,-0.75,2.25,8,0.0
8500,-1.0,2.0,8,0.0
9000,-1.0,2.0,9,0.0
9500,-1.0,2.0,8,0.0
10000,-1.0,2.0,8,0.0
10500,-1.0,2.0,8,0.0
11000,-1.0,2.0,9,0.0
11500,-1.0,2.0,8,0.0
12000,-0.89,2.11,9,0.0
12500,-1.0,2.0,8,0.0
13000,-0.88,2.12,8,0.0
13500,-0.88,2.12,8,0.0
14000,-1.0,2.0,10,0.0
14500,-1.0,2.0,8,0.0
15000,-0.89,2.11,9,0.0
15500,-1.0,2.0,8,0.0
16000,-1.0,2.0,9,0.0
16500,-0.89,2.11,9,0.0
17000,-1.0,2.0,10,0.0
17500,-1.0,2.0,8,0.0
18000,-1.0,2.0,11,0.0
18500,-1.0,2.0,11,0.0
19000,-0.9,2.1,10,0.0
19500,-1.0,2.0,8,0.0
20000,-1.0,2.0,9,0.0
20500,-0.89,2.11,9,0.0
21000,-1.0,2.0,9,0.0
21500,-1.0,2.0,10,0.0
22000,-0.9,2.1,10,0.0
22500,-0.92,2.08,12,0.0
23000,-1.0,2.0,10,0.0
23500,-0.9,2.1,10,0.0
24000,-1.0,2.0,9,0.0
24500,-1.0,2.0,11,0.0
25000,-1.0,2.0,8,0.0
25500,-0.89,2.11,9,0.0
26000,-1.0,2.0,9,0.0
26500,-0.89,2.11,9,0.0
27000,-1.0,2.0,11,0.0
27500,-0.88,2.12,8,0.0
28000,-0.91,2.09,11,0.0
28500,-1.0,2.0,8,0.0
29000,-0.89,2.11,9,0.0
29500,-1.0,2.0,10,0.0
30000,-1.0,2.0,8,0.0
30500,-1.0,2.0,10,0.0
31000,-1.0,2.0,8,0.0
31500,-0.92,2.08,12,0.0
32000,-0.9,2.1,10,0.0
32500,-1.0,2.0,9,0.0
33000,-1.0,2.0,8,0.0
33500,-1.0,2.0,8,0.0
34000,-0.88,2.12,8,0.0
34500,-1.0,2.0,8,0.0
35000,-0.88,2.12,8,0.0
35500,-1.0,2.0,11,0.0
36000,-0.78,2.22,9,0.0
36500,-1.0,2.0,10,0.0
37000,-1.0,2.0,9,0.0
37500,-0.89,2.11,9,0.0
